titulo	texto	target
Visita ao Porto de Setúbal	 Receção dos grupos no auditório do edificio sede da APSS - Administração dos Portos de Setúbal e Sesimbra, SA (durante a semana), onde se fará uma breve apresentação do Porto de Setúbal, seguindo-se uma visita, realizada em autocarro, aos terminais portuários com um acompanhamento específico, durante a qual se fará a explicação in loco da movimentação portuária e o desenvolvimento do porto e a sua interação com a região. Com origens que remontam à feitoria fenícia de Abul, localizada na Herdade do Pinheiro, o Porto de Setúbal possui uma centenária tradição no sistema portuário nacional e ibérico, servindo as empresas e as populações do seu hinterland e contribuindo para a sua ligação ao resto do mundo. O enquadramento natural e ambiental, a posição geoestratégica, as áreas de expansão disponíveis, a qualidade dos acessos marítimos e terrestres e os amplos e modernos terminais portuários permitem afirmar que o Porto de Setúbal possui uma excelente oferta logístico-portuária, no contexto da Grande Lisboa. Visita em grupo ao Porto de Setúbal para conhecer a actividade portuária, num contacto mais próximo com os terminais e a movimentação da carga, bem como com os aspectos técnicos inerentes. Maria João Amaro Bacalhau, Ernesto Carneiro, Edificio sede da Administração dos Portos de Setúbal e Sesimbra(APSS), SA, em Setúbal, junto ao Jardim Engº Luís da Fonseca.	0
O Atlântico pelos olhos de um geólogo e... de um biólogo...	 Quando estamos na praia e nos banhamos nas águas do Atlântico ou olhamos para as rochas que aparecem na maré baixa ou nas arribas envolventes, temos a sensação de que sempre terá sido assim. Mas… será que isto é verdade? Será que quando recuamos no tempo não iremos encontrar um Mundo bem diferente? A resposta a esta pergunta não é simples pois depende do que consideramos TEMPO… Se pensarmos em séculos ou milénios certamente que as diferenças não seriam muito grandes mas… e se estivermos a falar em milhões de anos? Será que os dinossauros poderiam ter caminhado nas águas do Atlântico? E, antes deles? Será que existiram trilobites no Atlântico? Será que as trilobites têm alguma coisa a ver com os camarões ou os caranguejos? Experiências num laboratório móvel e saídas de campo para ver as rochas e as poças de maré ao longo do litoral, na companhia de geólogos e biólogos, permitem-lhe encontrar a resposta a estas e muitas outras perguntas.  Será que os dinossauros caminharam em águas Atlânticas? E as trilobites? Serão parentes dos caranguejos? Será que no passado o Mundo era diferente? Depende do TEMPO que recuamos… Se pensarmos em séculos ou milénios, as diferenças não seriam muito grandes, mas e se falarmos em milhões de anos? Experiências num laboratório móvel e saídas de campo permitem-lhe responder a estas e outras perguntas.  Rui Dias, Alexis Soares, Vânia Silva, Mariana Antunes, Noel Moreira, André Paiva, Francisco Nascimento, Rosário Falcato  No parque de estacionamento, junto ao farol de Vila Nova de Milfontes.  Praia de Vila Nova de Milfontes	0
Biodiversidade nos Charcos	“A biodiversidade nos Charcos” é uma atividade que tem como objetivo alertar o público em geral para a importância dos charcos temporários mediterrânicos como ecossistema para inúmeras espécies, que se encontram bastante ameaçados. A atividade consiste numa saída de campo a um charco temporário mediterrânico para observar as diversas formas de vida que aí ocorrem, dando a conhecer as suas características, adaptações e importância para o equilíbrio dos ecossistemas.  Esta atividade inclui várias etapas, nomeadamente:  - Breve introdução sobre o conceito de charco temporário mediterrânico, sua importância como laboratório vivo e ameaças mais comuns    - Observação e identificação de organismos que habitam os charcos, tais como anfíbios e macroinvertebrados.      Os charcos são pequenas massas de água parada com grande interesse ecológico e elevada biodiversidade. Apesar da sua importância, são ecossitemas desconhecidos e pouco valorizados pela população. Venha até ao Centro Ciência Viva do Alviela descobrir a vida que se esconde num charco, e tudo o que se pode fazer para o preservar!      Jael Palhas  Maria João Silva  Centro Ciência Viva do Alviela – Olhos de Água do Alviela – Alcanena    coordenadas: 39.44543981646207, -8.710484504699707  Centro Ciência Viva do Alviela – Planalto de Santo António – Centro Ciência Viva do Alviela	0
Vida aquática no carso	“Vida Aquática no Carso” é uma atividade que tem como objetivo alertar o público em geral para a importância de pequenas massa de água para a biodiversidade. A atividade consiste numa saída de campo para observar as diversas formas de vida que ocorrem numa pequena massa de água, dando a conhecer alguma da biodiversidade associada. Esta atividade inclui várias etapas, nomeadamente:  - Breve introdução sobre a geologia da região e descrição de diversas massa de água.  - Saida de campo para observação e identificação de organismos associados a estes ecossitemas tais como anfíbios e macroinvertebrados.      Num ambiente seco, facilmente qualquer massa de água se transforma num pequeno oásis! Em diferentes ambientes aquáticos encontramos diferentes organismos, alguns deles adaptados a viver em condições extremas…Que organismos habitam cada massa de água? Venha descobrir a biodiversidade dos charcos, nascentes, pias e ribeiras do Maciço Calcário Estremenho.  jael palhas e maria joao silva  Centro Ciência Viva do Alviela – Olhos de Água do Alviela – Alcanena  (39.44543981646207, -8.710484504699707)  Centro Ciência Viva do Alviela – Planalto de Santo António – Centro Ciência Viva do Alviela	0
Os cogumelos e os seus segredos	1. Apresentação teórica sobre:  1.1. As principais características dos fungos produtores de cogumelos.  1.2. Ecologia e modo de nutrição dos fungos produtores de cogumelos.  2. Actividade prática laboratorial:  2.1. Como se identificam cogumelos  2.2. Cogumelos comestíveis e venenos: como distingui-los  3. Actividade prática de campo:  3.1. Saída de campo para observação de cogumelos e aplicação prática dos conhecimentos adquiridos.  Vamos aprender a distinguir grupos de cogumelos, comestíveis e venenosos, discretos e exuberantes, minúsculos e grandiosos. Não é tarefa fácil, contudo, uma observação mais cuidadosa, considerando a sua forma, cor, cheiro, sabor ou textura e ainda as suas características microscópicas, permitirá atingir o nosso objectivo. Aceita este desafio e vem conhecer os cogumelos e os seus segredos!  Celeste Santos e Silva  Rogério Louro    Pólo da Mitra da Universidade de Évora - Departamento de Biologia  Passeio de campo na área do Pólo da Mitra - Universidade de Évora	0
Céus estrelados da Póvoa de Varzim	A ação consistirá em duas actividades principais: observação a olho nu e observação com telescópio. Em relação à primeira, pretende-se familiarizar os participantes com as principais constelações visíveis no céu nocturno e com a orientação pela Estrela Polar. Pretende-se ainda que infiram que os objectos observáveis não são todos iguais, verificando as diferenças de brilho e cor das estrelas e a presença de planetas. Serão fornecidos planisférios celestes. No que diz respeito à observação com telescópio, será dado especial relevo à observação da Lua e dos planetas visíveis durante a duração da acção. Esta primeira fase propiciará a colocação de questões por parte dos participantes e a discussão de vários conceitos de Astronomia, prosseguindo-se posteriormente para a observação de outros objectos, como, por exemplo, estrelas duplas, enxames de estrelas e nebulosas planetárias.  Dinamização de actividades relacionadas com a astronomia, explorando conceitos científicos essenciais sobre o tema, com a presença de um astrónomo. Inclui observação celeste com telescópios.  Benjamim Ribeiro  David Silva  João Vieira  Jorge Fonte  José Codeço  Maria Gonçalves  Praça em Frente ao Casino do lado do Porto de mAR	0
As aves da serra da Penha	A ação é direcionada para a descoberta das aves e da sua diversidade à escala local. Propõe-se que os participantes descubram as diferentes espécies de aves com base na morfologia, padrão da plumagem, canto, comportamento e habitat.  Durante a ação será dada relevância aos aspetos sazonais e do meio físico que condicionam a ocorrência das diferentes espécies de aves no meio natural.    Vamos partir à descoberta das aves da serra da Penha e observar as suas caraterísticas. Por entre as diferentes formas e cores descobriremos hábitos, comportamentos e adaptações diferentes ao meio natural.   Daniel Ferreira  Paulo Jorge Travassos  Santuário da Penha - Guimarães	0
Obras de proteção costeira entre Paramos e Espinho: uma perspectiva da geotecnia portuária, da matéria-prima à obra	A acção destina-se apresentar, numa perspectiva da geotecnia portuária e marítima, o procedimento utilizado na monitorização de algumas estruturas de protecção costeira na região de Espinho (esporão de Paramos,...). Além disso, far-se-à uma visita técnica à pedreira da Malaposta da empresa ICSA(Lourosa) que fornece parte da matéria-prima rochosa que constitui as estruturas referidas.  A ação destina-se apresentar, numa perspetiva da geotecnia portuária e marítima, o procedimento utilizado na monitorização de algumas estruturas de proteção costeira na região de Espinho. Além disso, far-se-à uma visita técnica à pedreira da Malaposta (Lourosa) que fornece parte da matéria-prima rochosa que constitui as estruturas referidas.  Ana Pires (LABCARGA|ISEP)  Liliana Freitas (LABCARGA|ISEP)  Araujo Lopes (ICSA)  Helder I. Chaminé (DEG e LABCARGA|ISEP)  Instituto Superior de Engenharia do Porto (ISEP)  Rua de S. Tomé, Porto.  Porto (ISEP) - Lourosa (Pedreira Malaposta) - Paramos (Espinho) - Porto (ISEP)	0
Rota do Polvo	A acção tem como objectivo dar a conhecer de uma forma acessível a quem nos visita alguns dos processos da pesca do polvo, indicando os locais de pesca, passando nos locais de descarga e nos locais de venda. Pretende-se dar a conhecer o tipo de artes de pesca utilizadas, as suas características e funcionalidades, assim como o tipo de embarcações utilizadas. Pretende-se também fazer uma abordagem básica sobre o ciclo de vida do polvo, tempo de vida, ameaças e curiosidades.  O polvo comum é uma das principais espécies marinhas desembarcadas no Algarve. Santa Luzia depende exclusivamente desta pesca há mais de 30 anos, tendo recebido o título de “Capital do Polvo”. Pretende-se dar a conhecer o tipo de artes de pesca e as embarcações utilizadas. Pretende-se também fazer uma abordagem básica sobre o ciclo de vida do polvo, as suas ameaças e curiosidades.  Brígida Baptista  Lota de Santa Luzia  Lota, Cais de embarcações e apoios de pesca.	0
Segredos do Vale de Almourão	A actividade consiste num percurso pedestre, com partida na Aldeia de Foz de Cobrão, ao longo da rota “Segredos do Vale Mourão”, passando pelo geomonumento das Portas de Almourão, pelas conheiras do Ocreza,  com interpretação das paisagens, da história geológica e da história milenar da exploração mineira.  Vale Mourão é uma impressionante garganta escavada pelo Rio Ocreza nos últimos dois milhões de anos, que divide a Serra das Talhadas em duas poderosas cristas quartzíticas. Os Segredos do Vale Mourão serão desvendados numa emocionante viagem no tempo que inclui fósseis de Paleozóico, rochas dobradas, colisão de placas tectónica, vestígios da ultima glaciação, antigas minas romanas e garimpeiros de ouro.  Marta Palhim  Edite Fernandes   Sobral Fernando, junto à placa de início do Percurso Pedestre “Segredos do Vale de Almourão”  Sobral Fernando	0
