titulo	texto	target
Descubra as tecnologias por detrás da rádio e da televisão	As novas tecnologias da infocomunicação e uma arrojada arquitectura de interiores dão as mãos nos novos estúdios da RTP e RDP. Venha conhecer os bastidores e os protagonistas do mais moderno complexo de produção de rádio e televisão da Europa, recheado de soluções que representam o estado da arte . E perca-se na imensidão dos 1.200 m2 do estúdio de informação da RTP, onde coabitam mais de 20 cenários diferentes. O conceito é inteiramente nacional, a comprovar que os portugueses são sempre capazes de surpreender pela positiva. Venha conhecer os bastidores e os protagonistas do mais moderno complexo de produção de rádio e televisão da Europa, recheado de soluções que representam o estado da arte . E perca-se na imensidão dos 1.200 m2 do estúdio de informação da RTP, onde coabitam mais de 20 cenários diferentes.	4
Aproveitamento Hidroeléctrico de Carrapatelo	O aproveitamento hidroeléctrico de Carrapatelo, localizado no concelho de Cinfães, a cerca de 8 km desta povoação, está em exploração desde 1971. Foi o 1º a ser construído no troço nacional do Douro, tem uma potência instalada de 201 MW e é o que dispõe de maior queda, 36 m, que pode ser vencida através da eclusa de navegação incluída nesta instalação. Para além do importante contributo para a satisfação dos consumos de energia eléctrica e para a melhoria das condições de navegação do rio, este aproveitamento constitui um factor de progresso e desenvolvimento de uma vasta região. O viaduto criado pela barragem permitiu a ligação entre os concelhos de Cinfães e Marco de Canavezes, inexistentes até então. O aproveitamento hidroeléctrico de Carrapatelo, localizado no concelho de Cinfães, a cerca de 8 km desta povoação, está em exploração desde 1971. Foi o 1º a ser construído no troço nacional do Douro, tem uma potência instalada de 201 MW e é o que dispõe de maior queda, 36 m, que pode ser vencida através da eclusa de navegação incluída nesta instalação.	4
Visita ao Centro de Produção do Ribatejo	Visita guiada à central termoeléctrica do Ribatejo, que produz electricidade através da queima de gás natural, com uma potência instalada de 784 MW (encontra-se em construção o 3º Grupo, o que totalizará uma potência global de 1 176 MW em 2006). Entrou em serviço em 2004. Visita guiada à central termoeléctrica do Ribatejo, que produz electricidade através da queima de gás natural, com uma potência instalada de 784 MW (encontra-se em construção o 3º Grupo, o que totalizará uma potência global de 1 176 MW em 2006).	4
Visita à Central do Alqueva	A Central Hidroeléctrica, instalada na Barragem de Alqueva, é a principal produtora de energia eléctrica do sistema electro-produtor de Alqueva e a única hidroeléctrica do Sul do País. É uma Central do tipo “pé-de-barragem” e está equipada com dois circuitos hidráulicos com um comprimento médio de 103 metros e condutas forçadas de 7 metros de diâmetro para caudais máximos da ordem dos 210 m3/s cada. A visita é composta por uma apresentação do Empreendimento de Fins Múltiplos de Alqueva e da EDIA, o visionamento de um filme com 9 minutos, e a visita à Central (cerca de 1 a 1.30 h). A Central Hidroeléctrica, instalada na Barragem de Alqueva, é a principal produtora de energia eléctrica do sistema electro-produtor de Alqueva e a única hidroeléctrica do Sul do País. É uma Central do tipo “pé-de-barragem” e está equipada com dois circuitos hidráulicos com um comprimento médio de 103 metros e condutas forçadas de 7 metros de diâmetro para caudais máximos da ordem dos 210 m3/s cada.	4
Visita ao Centro de Controlo e Informação de Tráfego do Gabinete de Telemática Rodoviária	O Centro de Controlo e Informação de Tráfego da Estradas de Portugal acompanha, em tempo real, as condições de circulação rodoviária através do Sistema Integrado de Controlo e Informação de Tráfego. Este Sistema permite monitorizar as condições de circulação rodoviária nos principais eixos rodoviários nacionais, através de algumas centenas de câmaras e de sensores de tráfego. Simultaneamente, os utilizadores da estrada são informados acerca das condições de circulação que vão encontrar nas estradas, através dos painéis de sinalização de mensagem variável, da internet e dos telemóveis, contribuindo-se assim, para o reforço da segurança rodoviária e para o aumento do conforto na utilização das vias rodoviárias. O Gabinete de Telemática Rodoviária foi criado em 1999 e desenvolve a sua actividade em torno de oito funções especificas: Operação do Sistema Integrado de Controlo e Informação de Tráfego, integração automática dos dados de tráfego recolhidas pelas diferentes concessionárias, monitorização dos sistemas de portagem virtual, monitorização do Sistema de Emergência (Postos SOS), funcionamento dos equipamentos do Sistema Nacional de Classificação e Contagem de Tráfego, assessoria técnica de projectos de telemática rodoviária, estudo, desenvolvimento e implementação de sistemas de telemática rodoviária e gestão do canal técnico rodoviário. O Centro de Controlo e Informação de Tráfego da Estradas de Portugal acompanha, em tempo real, as condições de circulação rodoviária através do Sistema Integrado de Controlo e Informação de Tráfego.Este Sistema permite monitorizar as condições de circulação rodoviária nos principais eixos rodoviários nacionais.	4
Descubra o acontece ao seu lixo. Visita à Central de Tratamento de RSU.	Aquilo que para si já não tem valor e por isso deitou para o lixo, na Valorsul volta a ser um recurso, uma matéria prima capaz de se transformar numa nova caixa de cartão, numa nova garrafa de vidro, em energia eléctrica, fertilizante para a agricultura ou em materiais para a construção de uma nova estrada. Nesta visita ficará a saber o que acontece ao lixo doméstico indiferenciado depois de ser colocado no contentor e como funciona a Central de Incineração da Valorsul que tem a capacidade de efectuar a queima dos lixos que não separamos e, simultaneamente, produzir energia eléctrica. Por dia, a Central recebe perto de 2000 toneladas de resíduos e produz energia suficiente para alimentar uma cidade de 150 mil habitantes. Visita à Central de Tratamento de Resíduos Sólidos Urbanos, onde é possível ver a sala de comando, o processo de incineração, o armazém das escórias e os equipamentos de tratamento de gases.	4
Visita à ETAR de Chelas	O Subsistema de Chelas (ETAR) serve, total ou parcialmente, 18 das freguesias da cidade de Lisboa. Está dimensionado para recolher e tratar 52.500 m3/dia de águas residuais urbanas, o que corresponde a cerca de 211.000 habitantes equivalentes. O Subsistema é constituído pela ETAR Nereida (nome de uma das Tágides de Camões) e pelo sistema interceptor, que inclui cinco estações elevatórias, responsável pela recolha das águas residuais da zona baixa entre a Calçada do Grilo (Xabregas) e Alfama/Santa Apolónia. O Subsistema de Chelas é gerido pela Simtejo – Saneamento Integrado dos Municípios do Tejo e Trancão, empresa do Grupo Águas de Portugal e que tem como accionistas além da Águas de Portugal, as Câmaras Municipais de Lisboa, Loures, Odivelas, Amadora, Mafra e Vila Franca de Xira. A Simtejo é a entidade responsável pela recolha em alta e tratamento dos efluentes produzidos nos concelhos acima referidos, atendendo perto de 1.500.000 habitantes numa área de cerca de 1000 km2. A ETAR iniciou o seu funcionamento apenas com tratamento primário, seguido de desinfecção com cloro, em Dezembro de 1989. Em Março de 2001, a estação inaugurou uma linha de tratamento bastante diferente e completa, passando-se a dispor de um tratamento terciário de efluentes. A água sofre um tratamento destinado a garantir que a sua descarga no meio receptor se faz de acordo com a legislação em vigor, incluindo a remoção do azoto e a desinfecção final de toda a água tratada para poder ser reutilizada em fins de segunda linha (lavagem de ruas, rega de jardins...). As lamas produzidas durante o processo (que correspondem à poluição removida da água residual durante o processo de tratamento) são enviadas, após tratamento adequado, para valorização agrícola, onde irão ser usadas como fertilizante. De salientar que o tratamento das lamas permite a produção de electricidade, que é depois reutilizada na instalação, através da utilização do biogás produzido no processo de digestão anaeróbia. Há também uma grande preocupação em garantir que a ETAR, instalada dentro da cidade, não tenha um impacto negativo junto das populações vizinhas, pelo que todas as zonas onde existe a formação de maus odores estão confinadas e o ar aí retido é desodorizado antes de libertado para a atmosfera. A ETAR de Chelas serve várias freguesias de Lisboa:Alto Pina, Alvalade, Ameixoeira, Beato, Campo Grande, Carnide, Charneca, Graça, Lumiar, Marvila, Nª Srª Fátima, Penha de França, Stª Engrácia, Stº Estêvão, S. Domingos Benfica, S. João, S. João Deus, S. Vicente de Fora. Está dimensionado para recolher e tratar 52.500 m3/dia de águas residuais urbanas, correspondentes a 211.000 habitantes equivalentes.	4
A construção de um Navio - O olhar no Ambiente e na Segurança	Visita aos Estaleiros Navais de Viana do Castelo. Os ENVC são uma empresa de construção e reparação naval em actividade desde 1944, localizada na cidade de Viana do Castelo. São actualmente, os maiores estaleiros de construção naval de Portugal. Desde a sua fundação que desenvolve os seus próprios projectos, o que lhe confere actualmente uma grande capacidade para projectar, construir, converter e reparar navios sofisticados e de diferentes tipos. Desde que iniciou a sua actividade, já construiu mais de 220 navios de vários tipos: batelões, rebocadores, ferry-boats, navios de pesca, carga a granel, porta-contentores, transportadores de cimento, navios tanques, LPG, transportadores de produtos químicos e vasos de guerra. Além das reparações, estão a ser construídos, neste momento, 14 navios entre navios ferry-boat,navios Heavy Lift, porta contentores, navios para transporte de produtos químicos, navios de combate à poluição e navios de patrulha oceânica. A visita começa com uma introdução sobre a história dos Estaleiros e sobre a actividade da construção e reparação naval, com enquadramento ambiental e de segurança. De seguida será feita uma visita guiada aos estaleiros onde, para além das reparações, estão a ser construídos vários tipos de navios, entre os quais ferry-boat, navios de combate à poluição e navios de patrulha oceânica.	4
Como se faz um navio	Visita aos Estaleiros Navais de Viana do Castelo. Os ENVC são uma empresa de construção e reparação naval em actividade desde 1944, localizada na cidade de Viana do Castelo. São o maior estaleiro de construção naval de Portugal. Desde a sua fundação que desenvolve os seus próprios projectos, o que lhe confere actualmente uma grande capacidade para projectar, construir, converter e reparar navios sofisticados e de diferentes tipos. Desde que iniciou a sua actividade, já construiu mais de 200 navios de vários tipos: batelões, rebocadores, ferry-boats, navios de pesca, carga a granel, porta-contentores, transportadores de cimento, navios tanques, LPG, transportadores de produtos químicos e vasos de guerra. Além das reparações, estão a ser construídos, neste momento, 11 navios entre navios hotel, navios para transporte de produtos químicos, navios de combate à poluição e navios de patrulha oceânica. Visita aos Estaleiros Navais de Viana do Castelo. Os ENVC são o maior estaleiro de construção naval de Portugal. Desde a sua fundação que desenvolve os seus próprios projectos, o que lhe confere actualmente uma grande capacidade para projectar, construir, converter e reparar navios sofisticados e de diferentes tipos.	4
Observaçao de objectos do sistema solar, nebulosas, galaxias e enxames estelares. Visualizaçao de imagens do ceu profundo obtidas no momento utilizando camaras CCD proprias para a investigaçao astronomica. Identificaçao das diferentes constelaçoes e sua evoluçao ao longo do tempo. Demonstraçao do funcionamento de telescopios simples e computorizdos.	Observaçao de objectos do sistema solar, nebulosas, galaxias e enxames estelares. Visualizaçao de imagens do ceu profundo obtidas no momento utilizando camaras CCD proprias para a investigaçao astronomica. Identificaçao das diferentes constelaçoes e sua evoluçao ao longo do tempo. Demonstraçao do funcionamento de telescopios simples e computorizdos.	1
