titulo	texto	target
Aproveitamento Hidroeléctrico de Castelo do Bode	Visita guiada à barragem de Castelo de Bode. A Albufeira de Castelo do Bode, no distrito de Santarém, é a maior bacia hidrográfica do país (60km de largura). A sua envolvência natural de rara beleza é um misto de calma e de puro divertimento, onde o verde e o azul criam uma cumplicidade de tal forma magnífica como se de um verdadeiro paraíso, situado mesmo no centro do país, se tratasse.  Esta albufeira começou por aproveitar as águas do Rio Zêzere para a produção de energia eléctrica em 1951, servindo também como um entrave às cheias na zona de Lisboa, regularizando os níveis das águas.  Com 402m de largura e 115 metros de altura, a Barragem de Castelo de Bode é uma magnífica obra de arquitectura, pelo que esta visita é uma oportunidade única de conhecer os seus mecanismos e funcionamento.  A Albufeira de Castelo de Bode, no distrito de Santarém, é a maior bacia hidrográfica do país (60km de largura). A sua envolvência natural de rara beleza é um misto de calma e de puro divertimento, onde o verde e o azul criam uma cumplicidade de tal forma magnífica como se de um verdadeiro paraíso, situado mesmo no centro do país, se tratasse.    <br><br><img src=/veraocv/logotipos/castelodebode.jpg align=left>  No início do coroamento da barragem (junto à árvore)  Barragem de Castelo de Bode	5
Aproveitamento Hidroeléctrico do Alto Lindoso	Visita guiada ao aproveitamento hidroeléctrico do Alto Lindoso, com uma potência instalada de 630 MW. Localizado a escassas centenas de metros da fronteira com Espanha, é um dos mais potentes centros produtores hidroeléctricos instalados em Portugal.  A elevada potência dos seus grupos geradores, a prontidão na resposta às variações das solicitações da rede, a rapidez da entrada em serviço (cerca de 90 segundos) logo que requerida a sua capacidade produtiva, a reserva de energia acumulada nos 350 milhões de m3 de água da albufeira: todos estes factores caracterizam o aproveitamento do Alto Lindoso como um elemento fundamental no parque produtor português. Entrou em serviço industrial em 1992.  Visita guiada ao aproveitamento hidroeléctrico do Alto Lindoso. Com uma potência instalada de 630 MW, é um dos mais potentes centros produtores hidroeléctricos instalados em Portugal, tendo entrado ao serviço industrial em 1992.    <img src=/veraocv/logotipos/altolindoso.jpg align=left>  Edifício da Central do Alto Lindoso	5
Aproveitamento Hidroeléctrico do Carrapatelo	O aproveitamento hidroeléctrico de Carrapatelo, localizado no concelho de Cinfães, a cerca de 8 km desta povoação, está em exploração desde 1971.  Foi o primeiro a ser construído no troço nacional do Douro, tem uma potência instalada de 201 MW e é o que dispõe de maior queda - 36 m - que pode ser vencida através da eclusa de navegação incluída nesta instalação.  Para além do importante contributo para a satisfação dos consumos de energia eléctrica e para a melhoria das condições de navegação do rio, este aproveitamento constitui um factor de progresso e desenvolvimento de uma vasta região.  O viaduto criado pela barragem permitiu a ligação entre os concelhos de Cinfães e Marco de Canavezes, inexistentes até então.  O aproveitamento hidroeléctrico de Carrapatelo, em exploração desde 1971, tem uma potência instalada de 201 MW e é o que dispõe de maior queda, com 36m de altura, tendo sido o primeiro a ser construído no troço nacional do Douro.    <br><br><img src=/veraocv/logotipos/carrapatelo.jpg align=left>  Zona ajardinada c/ mastros de bandeiras no coroamento da barragem (margem esquerda)  Barragem do Carrapatelo	5
Visita à Central Termoeléctrica de Lares	Visita guiada à Central Termoelétrica de Lares, que entrou em serviço em 2009 e produz energia através da queima de gás natural, com uma potência elétrica instalada de 2x442,27 MWe.   Visita guiada à Central Termoelétrica de Lares, que entrou em serviço em 2009 e produz energia através da queima de gás natural, com uma potência eletrica instalada de 884,5 MWe.     <br><br><img src=http://www.cienciaviva.pt/veraocv/logotipos/edp verao2011.jpg><br>  Portaria da Central Termoelétrica de Lares  Central Termoelétrica de Lares	5
Visita à Central Termoeléctrica de Sines	Visita guiada à central termoelétrica de Sines, que produz eletricidade através da queima de carvão betuminoso importado, com uma potência total instalada de 1180 MW. A decisão da sua construção insere-se na estratégia de diversificação de fontes de energia primária para a produção de energia elétrica, na sequência das crises petrolíferas de 1973 e 1979, que provocaram um aumento significativo no petróleo e seus derivados. Teve inicio em 1979 e conclusão em 1989, tendo o primeiro grupo iniciado o serviço industrial em 1985.  Visita guiada à Central Termoelétrica de Sines, que entrou ao serviço em 1985 e produz eletricidade através da queima de carvão betuminoso importado, com uma potência total instalada de 1180 MW.     <br><br><img src=/veraocv/logotipos/sines.jpg align=left>  Portaria da Central Termoeléctrica de Sines  Central Termoelétrica de Sines	5
Visita à Central Termoeléctrica do Ribatejo	Visita guiada à central termoeléctrica do Ribatejo, que entrou ao serviço em 2004 e produz electricidade através da queima de gás natural, com uma potência instalada de 1200 MW.    <img src=/veraocv/logotipos/ribatejo.jpg>  Visita guiada à central termoeléctrica do Ribatejo, que entrou ao serviço em 2004 e produz electricidade através da queima de gás natural, com uma potência instalada de 1200 MW.     <img src=/veraocv/logotipos/ribatejo.jpg>  Portaria da Central Termoeléctrica	5
Central de Valorização Energética Lipor e Aterro Sanitário da Maia: do lixo à luz!	Visita à Central de Valorização Energética da Maia, que tem como objectivo a valorização, na forma de energia eléctrica, da fracção de resíduos que não possa ser aproveitada através dos processos de compostagem e reciclagem.  Visita ao Aterro Sanitário da Maia, o qual se destina a receber os subprodutos, resultantes do processo de tratamento térmico dos resíduos e os excedentes de resíduos brutos nos períodos de impossibilidade de tratamento em qualquer um dos pólos industriais da LIPOR.  Visita à Central de Valorização Energética da Maia, que tem como objectivo a valorização, na forma de energia eléctrica, da fracção de resíduos que não possa ser aproveitada através dos processos de compostagem e reciclagem.  Visita ao Aterro Sanitário da Maia.    <img src=/veraocv/logotipos/lipor5.jpg>    Levar calçado raso e fechado  Nas instalações da Central de Valorização Energética LIPOR, sitas no Lugar de Crestins, Moreira da Maia.	5
Central de Valorização Orgânica LIPOR: a transformação dos resíduos orgânicos num composto de elevada qualidade	Com a capacidade anual de processamento de 60.000 toneladas de resíduos orgânicos, esta central transforma-os num composto de elevada qualidade, o qual pode ser utilizado na agricultura, prevenindo a degradação dos solos e contribuindo de uma forma eficaz para a minimização da erosão, compactação, salinização e desertificação desses espaços.    Com a capacidade anual de processamento de 60.000 toneladas de resíduos orgânicos, esta central transforma-os num composto de elevada qualidade, o qual pode ser utilizado na agricultura.    <img src=/veraocv/logotipos/lipor1.jpg>    Levar calçado raso e fechado  Nas instalações da LIPOR sitas em Baguim do Monte, Gondomar	5
Circuito da reciclagem da LIPOR 4 Rs em acção: separar para valorizar	Este centro de triagem, com uma capacidade de processamento de 35 000 toneladas/ano, procede à triagem dos materiais provenientes da deposição selectiva em Ecopontos, em ecocentros e nas zonas de recolha selectiva porta-a-porta, enfardando-os e acondicionando-os para escoamento para as diversas indústrias recicladoras.  O centro de triagem, com capacidade de processamento de 35 000 toneladas/ano, procede à triagem dos materiais provenientes da deposição selectiva em ecopontos, em ecocentros e zonas de recolha selectiva porta-a-porta, enfardando-os e acondicionando-os para escoamento para as diversas indústrias recicladoras.    <img src=/veraocv/logotipos/valorsule.jpg align=left>    Levar calçado raso e fechado  Nas instalações da LIPOR, sitas em Baguim do Monte, Gondomar.	5
Visite a Horta da Formiga - Centro de Compostagem Caseira	A Horta da Formiga - Centro de Compostagem Caseira revela o que é a compostagem, quais as vantagens e diferentes usos, em especial a compostagem caseira, em que os cidadãos aprendem, de um modo simples, a aproveitar a fracção orgânica dos resíduos para produzir um fertilizante para adubar os jardins. Possibilidade de observar ainda uma quintinha onde se pratica agricultura biológica.  A Horta da Formiga - Centro Compostagem Caseira é reveladora do que é a compostagem, suas vantagens e diferentes usos. Os cidadãos aprendem, de modo simples, a aproveitar a fracção orgânica dos resíduos para produzir um fertilizante para adubar os jardins. Possibilidade de observar ainda uma quintinha onde se pratica agricultura biológica.    <img src=/veraocv/logotipos/lipor4.jpg>    Levar calçado raso e fechado.  Aquando da inscrição deverá indicar-se a idade.  Nas Instalações da LIPOR sitas em Baguim do Monte, Gondomar.	5
